hp_range,fruityard,maximum,number_of_gears,shuttle_Mechanical Shuttle,shuttle_No Shuttle,shuttle_No shuttle,shuttle_Power Shuttle,shift_position_center,shift_position_side,transmission_type_Not Synchronized,transmission_type_Not synchronized,transmission_type_Synchronized,injection_types_electronical,injection_types_mechanical,lifting_capacity,maximum_flow,maximum_torque,memo_speed_function,vcr,operator_environment_Cabin,operator_environment_Platform,operator_environment_Sem Platform,rated_pto_speed,seat_suspension_Mech. Vertical,seat_suspension_Pneumatic,control_interface_automatic,control_interface_button,control_interface_by lever,guidance_function,steering_wheel_adjustment_fixed,steering_wheel_adjustment_tilt+telescopic,steering_wheel_adjustment_tiltable,tank_capacity,telemetry,turning_radius,dashboard_analog,dashboard_digital,weight,outside_control_no,outside_control_optional,outside_control_yes,wheelbase
125.5,0,1.2749189284304951,256.0,False,False,False,True,False,True,False,False,True,True,False,1.323894391501504,1.574456083829164,1.4637586765807686,1.0,0.0,True,False,False,0.0,False,True,True,False,False,0.0,False,True,False,1.430053687406111,1,0.20930232558139528,False,True,1.0465683982670924,False,False,True,1.9134760501122134
125.5,0,1.2749189284304951,256.0,False,False,False,True,False,True,False,False,True,True,False,1.323894391501504,1.574456083829164,1.4637586765807686,1.0,0.0,True,False,False,0.0,False,True,True,False,False,0.0,False,True,False,1.430053687406111,1,0.20930232558139528,False,True,1.0465683982670924,False,False,True,1.9134760501122134
125.5,0,1.2749189284304951,256.0,False,False,False,True,False,True,False,False,True,True,False,1.323894391501504,1.254833797069994,1.4637586765807686,1.0,0.0,True,False,False,0.0,True,False,True,False,False,0.0,False,True,False,1.430053687406111,1,0.20930232558139528,False,True,1.0465683982670924,False,False,True,1.9134760501122134
135.5,0,1.7791756406522303,144.0,False,False,False,True,False,True,False,False,True,True,False,1.323894391501504,1.254833797069994,1.7945741160803024,1.0,0.0,True,False,False,0.0,True,False,False,True,False,0.0,False,False,True,0.7944175428789391,1,0.5348837209302326,False,True,1.446058726891856,False,True,False,1.0212699337459272
135.5,0,1.7791756406522303,144.0,False,False,False,True,False,True,False,False,True,True,False,1.323894391501504,1.254833797069994,1.7945741160803024,1.0,0.0,True,False,False,0.0,True,False,False,True,False,0.0,False,False,True,0.7944175428789391,1,0.5348837209302326,False,True,1.446058726891856,False,True,False,1.0212699337459272
135.5,0,1.7791756406522303,144.0,True,False,False,False,False,True,False,False,True,True,False,1.323894391501504,-0.6172395968051435,1.7945741160803024,1.0,0.0,False,True,False,0.0,True,False,False,True,False,0.0,False,False,True,1.0062962577213297,1,0.5348837209302326,False,True,1.446058726891856,False,True,False,1.0212699337459272
135.5,0,1.7791756406522303,144.0,False,False,False,True,False,True,False,False,True,True,False,1.323894391501504,1.254833797069994,1.7945741160803024,1.0,0.0,False,True,False,0.0,True,False,False,True,False,0.0,False,False,True,1.0062962577213297,1,0.5348837209302326,False,True,1.446058726891856,False,True,False,1.0212699337459272
135.5,0,1.7791756406522303,256.0,False,False,False,True,False,True,False,False,True,True,False,1.323894391501504,1.574456083829164,1.7945741160803024,1.0,0.0,True,False,False,0.0,True,False,True,False,False,0.0,False,True,False,1.430053687406111,1,0.20930232558139528,False,True,1.446058726891856,False,False,True,1.9134760501122134
135.5,0,1.7791756406522303,256.0,False,False,False,True,False,True,False,False,True,True,False,1.323894391501504,1.574456083829164,1.7945741160803024,1.0,0.0,True,False,False,0.0,False,True,True,False,False,0.0,False,True,False,1.430053687406111,1,0.20930232558139528,False,True,1.446058726891856,False,False,True,1.9134760501122134
135.5,0,1.7791756406522303,256.0,False,False,False,True,False,True,False,False,True,True,False,1.323894391501504,1.574456083829164,1.7945741160803024,1.0,0.0,True,False,False,0.0,False,True,True,False,False,0.0,False,True,False,1.430053687406111,1,0.20930232558139528,False,True,1.446058726891856,False,False,True,1.9134760501122134
135.5,0,1.7791756406522303,256.0,False,False,False,True,False,True,False,False,True,True,False,1.323894391501504,1.254833797069994,1.7945741160803024,1.0,0.0,True,False,False,0.0,True,False,True,False,False,0.0,False,True,False,1.430053687406111,1,0.20930232558139528,False,True,1.446058726891856,False,False,True,1.9134760501122134
135.5,0,1.7791756406522303,256.0,False,False,False,True,False,True,False,False,True,True,False,1.323894391501504,1.254833797069994,1.7945741160803024,1.0,0.0,True,False,False,0.0,False,True,True,False,False,0.0,False,True,False,1.430053687406111,1,0.20930232558139528,False,True,1.446058726891856,False,False,True,1.9134760501122134
98.0,0,0.2664055039870251,144.0,True,False,False,False,False,True,False,False,True,True,False,0.6512085360094634,-0.6172395968051435,0.36104054491565585,1.0,0.0,True,False,False,0.0,True,False,False,True,False,0.0,False,True,False,0.15878139835176736,1,0.627906976744186,False,True,0.5018088592333235,False,True,False,0.50934839156855
98.0,0,0.2664055039870251,144.0,True,False,False,False,False,True,False,False,True,True,False,0.6512085360094634,1.254833797069994,0.36104054491565585,1.0,0.0,True,False,False,0.0,True,False,False,True,False,0.0,False,True,False,0.15878139835176736,1,0.627906976744186,False,True,0.5018088592333235,False,True,False,0.50934839156855
98.0,0,0.2664055039870251,144.0,False,False,False,True,False,True,False,False,True,True,False,0.6512085360094634,1.254833797069994,0.36104054491565585,1.0,0.0,True,False,False,0.0,True,False,False,True,False,0.0,False,True,False,0.15878139835176736,1,0.627906976744186,False,True,0.5018088592333235,False,True,False,0.50934839156855
98.0,0,0.2664055039870251,144.0,False,False,False,True,False,True,False,False,True,True,False,0.6512085360094634,1.254833797069994,0.36104054491565585,1.0,0.0,True,False,False,0.0,True,False,False,True,False,0.0,False,True,False,0.15878139835176736,1,0.627906976744186,False,True,0.5018088592333235,False,True,False,0.50934839156855
98.0,0,0.2664055039870251,144.0,True,False,False,False,False,True,False,False,True,True,False,0.6512085360094634,-0.6172395968051435,0.36104054491565585,1.0,0.0,False,True,False,0.0,True,False,False,True,False,0.0,False,True,False,0.5825388280365486,1,0.627906976744186,False,True,0.5018088592333235,False,True,False,0.50934839156855
98.0,0,0.2664055039870251,144.0,True,False,False,False,False,True,False,False,True,True,False,0.6512085360094634,1.254833797069994,0.36104054491565585,1.0,0.0,False,True,False,0.0,True,False,False,True,False,0.0,False,True,False,0.5825388280365486,1,0.627906976744186,False,True,0.5018088592333235,False,True,False,0.50934839156855
